cha,TAXON,FREQUENCY,USED_IN_ANALYSIS,EIV_Light,EIV_Temperature,EIV_Moisture,EIV_Reaction,EIV_Nutrients,PLANT_HEIGHT,RANGE_TYPE,RANGE_TYPE_AGG
1,Abies alba,0,TRUE,3,5,6,5,6,NA,08ce,Central European
2,Acer campestre,66,TRUE,5,6,5,7,6,NA,5,Submediterranean
3,Acer platanoides,9,TRUE,4,6,5,7,6,NA,7,NA
4,Acer pseudoplatanus,16,TRUE,4,5,6,6,7,NA,08ce,Central European
5,Acer tataricum,5,TRUE,5,7,4,7,4,NA,5,Submediterranean
6,Achillea millefolium agg.,55,TRUE,7,5,5,6,5,NA,NA,NA
7,Achillea nobilis,11,TRUE,8,7,3,8,2,0.38,4,Continental
8,Aconitum anthora,4,TRUE,7,7,4,7,4,0.63,9,NA
9,Aconitum lycoctonum,0,TRUE,4,5,7,7,7,0.85,08ce,Central European
10,Adonis vernalis,24,TRUE,8,7,3,8,2,0.25,4,Continental
11,Aegonychon purpurocaeruleum,35,TRUE,5,7,4,8,4,0.4,5,Submediterranean
12,Aegopodium podagraria,0,TRUE,6,5,6,7,8,0.75,10,NA
13,Aethionema saxatile,5,TRUE,9,8,1,9,1,0.125,1,Mediterranean
14,Aethusa sp.,1,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
15,Agrimonia eupatoria,9,TRUE,7,6,4,8,4,0.83,10,NA
16,Agrostis vinealis,1,TRUE,8,6,3,3,2,0.3,10,NA
17,Ajuga genevensis,29,TRUE,7,6,4,7,3,0.2,5,Submediterranean
18,Ajuga reptans,4,TRUE,5,5,6,6,6,0.17,08ce,Central European
19,Alliaria petiolata,59,TRUE,5,6,5,7,8,0.55,08ce,Central European
20,Allium ericetorum,0,TRUE,NA,NA,NA,NA,NA,0.25,1,Mediterranean
21,Allium flavum,20,TRUE,8,7,2,7,2,0.4,5,Submediterranean
22,Allium lusitanicum,10,TRUE,8,7,2,6,3,0.19,4,Continental
23,Allium oleraceum,5,TRUE,6,6,4,7,4,0.53,08ce,Central European
24,Allium scorodoprasum,1,TRUE,6,6,6,7,7,0.75,5,Submediterranean
25,Allium sp.,23,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
26,Allium sphaerocephalon,10,TRUE,8,8,3,8,3,0.55,5,Submediterranean
