
"plot","community","community_label","is_transition","mix_a","mix_b"
"dry_meadow_001","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_002","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_003","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_004","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_005","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_006","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_007","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_008","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_009","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_010","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_011","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_012","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_013","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_014","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_015","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_016","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_017","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_018","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_019","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_020","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_021","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_022","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_023","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_024","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_025","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_026","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_027","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_028","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_029","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"dry_meadow_030","dry_meadow","Dry calcareous meadow",FALSE,"dry_meadow",NA
"wet_meadow_001","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_002","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_003","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_004","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_005","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_006","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_007","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_008","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_009","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_010","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_011","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_012","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_013","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_014","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_015","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_016","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_017","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_018","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_019","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_020","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_021","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_022","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_023","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_024","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_025","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_026","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_027","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_028","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_029","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"wet_meadow_030","wet_meadow","Wet meadow and marsh edge",FALSE,"wet_meadow",NA
"woodland_001","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_002","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_003","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_004","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_005","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_006","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_007","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_008","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_009","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_010","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_011","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_012","woodland","Deciduous woodland shade",FALSE,"woodland",NA
"woodland_013","woodland","Deciduous woodland shade",FALSE,"woodland",NA
