"species","expected_group","ecological_role","dry_meadow","wet_meadow","woodland","ruderal_edge"
"Festuca ovina","dry_meadow","diagnostic",0.848349103778601,0.113707541329786,0.0486139534786344,0.162291513895616
"Bromus erectus","dry_meadow","diagnostic",0.811548355249688,0.033466659723781,0.0856992290401831,0.186293470198289
"Thymus serpyllum","dry_meadow","diagnostic",0.915645285677165,0.0455428824340925,0.0662292822543532,0.152801742730662
"Salvia pratensis","dry_meadow","diagnostic",0.917778345784172,0.0760332746244967,0.110403138729744,0.213600187906995
"Galium verum","dry_meadow","diagnostic",0.809393925620243,0.0714211784349754,0.0590203467104584,0.200320511199534
"Achillea millefolium","dry_meadow","diagnostic",0.720789667759091,0.10110551412683,0.0588108282815665,0.199949929630384
"Lotus corniculatus","dry_meadow","diagnostic",0.795911848107353,0.0407658972823992,0.110660140779801,0.152292590197176
"Plantago lanceolata","dry_meadow","diagnostic",0.897550981100649,0.117353991377167,0.0631751248892397,0.176797452336177
"Carex acuta","wet_meadow","diagnostic",0.117096661035903,0.799697082284838,0.0533427211269736,0.174163133082911
"Juncus effusus","wet_meadow","diagnostic",0.0238936491124332,0.772217592764646,0.087727683018893,0.141729552159086
"Caltha palustris","wet_meadow","diagnostic",0.087560727451928,0.88993794371374,0.0959544267551973,0.107978610889986
"Filipendula ulmaria","wet_meadow","diagnostic",0.0471286614704877,0.728597759203985,0.0893204820388928,0.0968574912939221
"Lychnis flos-cuculi","wet_meadow","diagnostic",0.041638541505672,0.721576947746798,0.0397410342283547,0.126322700520977
"Deschampsia cespitosa","wet_meadow","diagnostic",0.0714407708309591,0.791805661171675,0.0781604002509266,0.157475825408474
"Mentha aquatica","wet_meadow","diagnostic",0.0975823362637311,0.737122412985191,0.0433703398611397,0.116626204336062
"Iris pseudacorus","wet_meadow","diagnostic",0.0867426514672115,0.905128949722275,0.0408569956943393,0.168091316120699
"Fagus sylvatica","woodland","diagnostic",0.0533071983419359,0.0717157698236406,0.845249068904668,0.114299108805135
"Quercus robur","woodland","diagnostic",0.0416567310970277,0.123324590572156,0.867971055842936,0.15551296165213
"Anemone nemorosa","woodland","diagnostic",0.0735761289997026,0.0952731572557241,0.870304512539879,0.140416187131777
"Galium odoratum","woodland","diagnostic",0.0735789993824437,0.13289421305526,0.842426618030295,0.0826799144595861
"Mercurialis perennis","woodland","diagnostic",0.0556721999356523,0.0894973045215011,0.863931458471343,0.11076139642857
"Hedera helix","woodland","diagnostic",0.111920392913744,0.116257029357366,0.900726905027404,0.126939711999148
"Dryopteris filix-mas","woodland","diagnostic",0.0831507298909128,0.113738584965467,0.884280784782022,0.1095785078872
"Melica uniflora","woodland","diagnostic",0.0964507758663967,0.127936816145666,0.812813910264522,0.0496317359898239
"Urtica dioica","ruderal_edge","diagnostic",0.0978886462934315,0.10172304444015,0.131937859128229,0.778724768273532
"Galium aparine","ruderal_edge","diagnostic",0.102544285282493,0.0978809498529881,0.0629085818910971,0.875165008548647
"Sambucus nigra","ruderal_edge","diagnostic",0.103639338575304,0.0880164178134873,0.113523661056533,0.840353247085586
"Artemisia vulgaris","ruderal_edge","diagnostic",0.167567611597478,0.0651886494411155,0.101187207121402,0.757220431352034
"Ballota nigra","ruderal_edge","diagnostic",0.151076509105042,0.0680310129001737,0.139439697763883,0.884935881271958
"Chelidonium majus","ruderal_edge","diagnostic",0.169071974232793,0.111805641725659,0.134736111680977,0.771852115197107
"Aegopodium podagraria","ruderal_edge","diagnostic",0.17409312591888,0.0993191209202632,0.0728872161731124,0.758935228763148
"Dactylis glomerata","ruderal_edge","diagnostic",0.169182526366785,0.0272253111284226,0.133131547728553,0.742461648331955
"Poa pratensis","shared","common/generalist",0.545535306115635,0.412697391649708,0.44260478226468,0.531626510033384
"Trifolium repens","shared","common/generalist",0.435133316665888,0.570320100169629,0.47496275128331,0.452391200298443
"Taraxacum officinale","shared","common/generalist",0.535579295498319,0.425376378833316,0.380925739691593,0.386005113222636
"Ranunculus acris","shared","common/generalist",0.412838880480267,0.355737531832419,0.298284923885949,0.444227823470719
"Plantago major","shared","common/generalist",0.327364030126482,0.357906994055957,0.415393255064264,0.547815578146838
"Betula pendula","noise","rare/noise",0.0838989627640694,0.0686217614356428,0.0374400500999764,0.0667654459248297
"Pinus sylvestris","noise","rare/noise",0.0488795324484818,0.0474924619938247,0.0917581752175465,0.0507277762540616
"Phragmites australis","noise","rare/noise",0.0897334093414247,0.0634507796471007,0.037779408369679,0.0596687796129845
"Rubus caesius","noise","rare/noise",0.135761446547695,0.0319303157250397,0.0532531132735312,0.0883818485913798
"Vicia cracca","noise","rare/noise",0.0645052204257809,0.139620794714429,0.0904582454799674,0.0323595251375809
"Leucanthemum vulgare","noise","rare/noise",0.120256600291468,0.118483264392708,0.0830179593199864,0.117863633823581
"Hypericum perforatum","noise","rare/noise",0.0637759840488434,0.0395238661929034,0.0475416840007529,0.0421368610230275
"Rumex acetosa","noise","rare/noise",0.0503998939273879,0.125692659665365,0.0464536894578487,0.0893778114393353
"Veronica chamaedrys","noise","rare/noise",0.0353181454422884,0.0910044449707493,0.0849200168414973,0.0928357287216932
"Prunella vulgaris","noise","rare/noise",0.0570241561997682,0.0763516264013015,0.133462136585731,0.0980846701655537
