"plot","species","value"
"dry_meadow_001","Achillea millefolium",39
"dry_meadow_001","Artemisia vulgaris",1
"dry_meadow_001","Bromus erectus",24
"dry_meadow_001","Chelidonium majus",2
"dry_meadow_001","Festuca ovina",18
"dry_meadow_001","Galium verum",58
"dry_meadow_001","Hedera helix",2
"dry_meadow_001","Leucanthemum vulgare",2
"dry_meadow_001","Phragmites australis",2
"dry_meadow_001","Plantago lanceolata",28
"dry_meadow_001","Poa pratensis",10
"dry_meadow_001","Ranunculus acris",3
"dry_meadow_001","Taraxacum officinale",7
"dry_meadow_001","Thymus serpyllum",14
"dry_meadow_001","Trifolium repens",7
"dry_meadow_002","Ballota nigra",2
"dry_meadow_002","Bromus erectus",34
"dry_meadow_002","Chelidonium majus",1
"dry_meadow_002","Galium verum",53
"dry_meadow_002","Hedera helix",1
"dry_meadow_002","Lotus corniculatus",66
"dry_meadow_002","Plantago lanceolata",14
"dry_meadow_002","Poa pratensis",6
"dry_meadow_002","Rubus caesius",3
"dry_meadow_002","Salvia pratensis",38
"dry_meadow_002","Taraxacum officinale",4
"dry_meadow_002","Thymus serpyllum",9
"dry_meadow_002","Trifolium repens",9
"dry_meadow_003","Achillea millefolium",17
"dry_meadow_003","Betula pendula",1
"dry_meadow_003","Bromus erectus",31
"dry_meadow_003","Festuca ovina",61
"dry_meadow_003","Galium verum",35
"dry_meadow_003","Juncus effusus",3
"dry_meadow_003","Lotus corniculatus",30
"dry_meadow_003","Melica uniflora",3
"dry_meadow_003","Plantago lanceolata",22
"dry_meadow_003","Ranunculus acris",7
"dry_meadow_003","Salvia pratensis",46
"dry_meadow_003","Taraxacum officinale",5
"dry_meadow_003","Thymus serpyllum",55
"dry_meadow_003","Veronica chamaedrys",2
"dry_meadow_004","Bromus erectus",40
"dry_meadow_004","Festuca ovina",55
"dry_meadow_004","Galium verum",53
"dry_meadow_004","Lotus corniculatus",46
"dry_meadow_004","Melica uniflora",2
"dry_meadow_004","Plantago lanceolata",11
"dry_meadow_004","Plantago major",33
"dry_meadow_004","Poa pratensis",16
"dry_meadow_004","Salvia pratensis",56
"dry_meadow_004","Taraxacum officinale",14
"dry_meadow_004","Thymus serpyllum",15
"dry_meadow_004","Trifolium repens",11
"dry_meadow_005","Achillea millefolium",22
"dry_meadow_005","Bromus erectus",43
"dry_meadow_005","Festuca ovina",36
"dry_meadow_005","Galium verum",31
"dry_meadow_005","Leucanthemum vulgare",1
"dry_meadow_005","Lotus corniculatus",22
"dry_meadow_005","Salvia pratensis",29
"dry_meadow_005","Taraxacum officinale",16
"dry_meadow_005","Thymus serpyllum",41
"dry_meadow_005","Trifolium repens",11
"dry_meadow_005","Urtica dioica",5
"dry_meadow_006","Bromus erectus",11
"dry_meadow_006","Chelidonium majus",5
"dry_meadow_006","Dactylis glomerata",2
"dry_meadow_006","Festuca ovina",37
"dry_meadow_006","Galium verum",45
"dry_meadow_006","Plantago lanceolata",20
"dry_meadow_006","Poa pratensis",7
"dry_meadow_006","Ranunculus acris",9
"dry_meadow_006","Salvia pratensis",56
"dry_meadow_006","Taraxacum officinale",18
"dry_meadow_006","Thymus serpyllum",33
"dry_meadow_006","Trifolium repens",9
"dry_meadow_007","Achillea millefolium",55
"dry_meadow_007","Ballota nigra",1
"dry_meadow_007","Bromus erectus",28
"dry_meadow_007","Festuca ovina",40
"dry_meadow_007","Galium verum",20
"dry_meadow_007","Lotus corniculatus",39
"dry_meadow_007","Plantago lanceolata",13
"dry_meadow_007","Plantago major",7
"dry_meadow_007","Poa pratensis",14
"dry_meadow_007","Ranunculus acris",2
"dry_meadow_007","Salvia pratensis",15
