"","Festuca ovina","Bromus erectus","Thymus serpyllum","Salvia pratensis","Galium verum","Achillea millefolium","Lotus corniculatus","Plantago lanceolata","Carex acuta","Juncus effusus","Caltha palustris","Filipendula ulmaria","Lychnis flos-cuculi","Deschampsia cespitosa","Mentha aquatica","Iris pseudacorus","Fagus sylvatica","Quercus robur","Anemone nemorosa","Galium odoratum","Mercurialis perennis","Hedera helix","Dryopteris filix-mas","Melica uniflora","Urtica dioica","Galium aparine","Sambucus nigra","Artemisia vulgaris","Ballota nigra","Chelidonium majus","Aegopodium podagraria","Dactylis glomerata","Poa pratensis","Trifolium repens","Taraxacum officinale","Ranunculus acris","Plantago major","Betula pendula","Pinus sylvestris","Phragmites australis","Rubus caesius","Vicia cracca","Leucanthemum vulgare","Hypericum perforatum","Rumex acetosa","Veronica chamaedrys","Prunella vulgaris"
"dry_meadow_001",18,24,14,0,58,39,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,10,7,7,3,0,0,0,2,0,0,2,0,0,0,0
"dry_meadow_002",0,34,9,38,53,0,66,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,6,9,4,0,0,0,0,0,3,0,0,0,0,0,0
"dry_meadow_003",61,31,55,46,35,17,30,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,7,0,1,0,0,0,0,0,0,0,2,0
"dry_meadow_004",55,40,15,56,53,0,46,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,11,14,0,33,0,0,0,0,0,0,0,0,0,0
"dry_meadow_005",36,43,41,29,31,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,11,16,0,0,0,0,0,0,0,1,0,0,0,0
"dry_meadow_006",37,11,33,56,45,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,7,9,18,9,0,0,0,0,0,0,0,0,0,0,0
"dry_meadow_007",40,28,34,15,20,55,39,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,3,9,2,7,0,0,0,0,0,0,0,0,1,0
"dry_meadow_008",23,0,48,33,24,40,35,29,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,3,0,2,0,4,14,25,0,0,0,0,0,2,0,0,0,0,0,0
"dry_meadow_009",14,25,46,33,26,27,42,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"dry_meadow_010",32,34,21,29,17,18,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,1,0,3,0,0,0,0
